Season,Winner,Winner Country,Winner Score,scorer 1,scorer 2,scorer 3,scorer 4,scorer 5,scorer 6,scorer 7,Finalist Score,opponent scorer 1,opponent scorer 2,opponent scorer 3,Finalist,Finalist Country,Venue,Attendance,Meilleur Buteur,Pays buteur,Club buteur,buts
1955–56,Real Madrid, Spain,4,Di Stefano,Rial,Marquitos,Rial,,,,3,Leblond,Templin,Hidalgo,Stade de Reims, France,"France Parc des Princes, Paris","38,239", Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
1956–57,Real Madrid, Spain,2,Di Stefano,Gento,,,,,,0,,,,Fiorentina, Italy,"Spain Santiago Bernabéu Stadium, Madrid","124,000",Dennis Viollet,England,Manchester United,9
1957–58,Real Madrid, Spain,3,Di Stefano,Rial,Gento,,,,,2,Schiaffino,Grillo,,Milan, Italy,"Belgium Heysel Stadium, Brussels","67,000",Alfredo Di Stéfano,Spain,Real Madrid,10
1958–59,Real Madrid, Spain,2,Mateos,Di Stefano,,,,,,0,,,,Stade de Reims, France,"West Germany Neckarstadion, Stuttgart","72,000",Just Fountain,France,Reims Stadium,10
1959–60,Real Madrid, Spain,7,Di Stefano,Di Stefano,Puskas,Puskas,Puskas,Puskas,Di Stefano,3,Kreiss,Stein,Stein,Eintracht Frankfurt, West Germany,"Scotland Hampden Park, Glasgow","127,621",Ferenc Puskás,Hungary,Real Madrid,12
1960–61,Benfica, Portugal,3,Aguas,Ramallets (o.g.),Coluna,,,,,2,Kocsis,Czibor,,Barcelona, Spain,"Switzerland Wankdorf Stadium, Bern","26,732",José Águas,Portugal,Benfica,11
1961–62,Benfica, Portugal,5,Aguas,Cavem,Coluna,Eusebio,Eusebio,,,3,Puskas,Puskas,Puskas,Real Madrid, Spain,"Netherlands Olympisch Stadion, Amsterdam","61,257",Heinz Strehl,West Germany,1. FC Nuremberg,8
1962–63,Milan, Italy,2,Altafini,Altafini,,,,,,1,Eusebio,,,Benfica, Portugal,"England Wembley Stadium, London","45,715",José Altafini,Italy,AC Milan,14
1963–64,Internazionale, Italy,3,Mazzola,Milani,Mazzola,,,,,1,Felo,,,Real Madrid, Spain,"Austria Prater Stadium, Vienna","71,333",Vladimir Kovačević,Yugoslavia, FK Partizan Belgrade,7
1964–65,Internazionale, Italy,1,Jair,,,,,,,0,,,,Benfica, Portugal,"Italy San Siro, Milan","89,000",Eusebio,Portugal,Benfica,9
1965–66,Real Madrid, Spain,2,Amancio,Serena,,,,,,1,Vasovic,,,Partizan, Yugoslavia,"Belgium Heysel Stadium, Brussels","46,745",Eusebio,Portugal,Benfica,7
1966–67,Celtic, Scotland,2,Gemmell,Chalmers,,,,,,1,Mazzola,,,Internazionale, Italy,"Portugal Estádio Nacional, Lisbon","45,000",Paul Van Himst,Belgium,RSC Anderlecht,6
1967–68,Manchester United, England,4,Charlton,Best,Kidd,Charlton,,,,1,Graca,,,Benfica, Portugal,"England Wembley Stadium, London","92,225",Eusebio,Portugal,Benfica,6
1968–69,Milan, Italy,3,Prati,Prati,Sormani,Prati,,,,1,Vasovic,,,Ajax, Netherlands,"Spain Santiago Bernabéu Stadium, Madrid","31,782",Dennis Law,Scotland,Manchester United,9
1969–70,Feyenoord, Netherlands,2,Israel,Kindvall,,,,,,1,Gemmell,,,Celtic, Scotland,"Italy San Siro, Milan","53,187",Mick Jones,England,Leeds United,8
1970–71,Ajax, Netherlands,2,van Dijk,Haan,,,,,,0,,,,Panathinaikos, Greece,"England Wembley Stadium, London","83,179",Antonis Antoniadis,Greece,Panathinaikos,10
1971–72,Ajax, Netherlands,2,Cruyff,Cruyff,,,,,,0,,,,Internazionale, Italy,"Netherlands De Kuip, Rotterdam","61,354",Silvester Takač,Yugoslavia,Standard Liege,5
1972–73,Ajax, Netherlands,1,Rep,,,,,,,0,,,,Juventus, Italy,"Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade","89,484",Gerd Müller,West Germany,Bayern Munich,11
1973–74,Bayern Munich, West Germany,4,Hoeness,Muller,Hoeness,Muller,,,,0,,,,Atlético Madrid, Spain,"Belgium Heysel Stadium, Brussels","72,047",Gerd Müller,West Germany,Bayern Munich,8
1974–75,Bayern Munich, West Germany,2,Roth,Muller,,,,,,0,,,,Leeds United, England,"France Parc des Princes, Paris","48,374",Gerd Muller,West Germany,Bayern Munich,5
1975–76,Bayern Munich, West Germany,1,Roth,,,,,,,0,,,,Saint-Étienne, France,"Scotland Hampden Park, Glasgow","54,864",Jupp Heynckes,West Germany,Borussia Mönchengladbach,6
1976–77,Liverpool, England,3,McDermott,Smith,Neal,,,,,1,Simonsen,,,Borussia Mönchengladbach, West Germany,"Italy Stadio Olimpico, Rome","52,078",Gerd Müller,West Germany,Bayern Munich,5
