Rank,Player,Club,Nationality,Points,Percent,Season,Winner,Winner Country,Winner Score,Finalist Score,Finalist,Finalist Country,Venue,Attendance,Meilleur Buteur,Pays buteur,Club buteur,buts
1,Stanley Matthews,Blackpool,England,47,0.5875,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
2,Alfredo Di Stéfano,Real Madrid CF,Spain,44,0.55,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
3,Raymond Kopa,Real Madrid CF,France,33,0.4125,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
4,Ferenc Puskás,Honvéd,Hungary,32,0.4,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
5,Lev Yashin,Dynamo Moskva,Soviet Union,19,0.2375,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
6,József Bozsik,Honvéd,Hungary,15,0.1875,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
7,Ernst Ocwirk,Sampdoria,Austria,9,0.1125,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
8,Sándor Kocsis,Honvéd,Hungary,6,0.075,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
9,Thadée Cisowski,Racing Club Paris,France,4,0.05,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
9,Ivan Kolev,CDNA Sofia,Bulgaria,4,0.05,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
9,Billy Wright,Wolverhampton Wanderers,England,4,0.05,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
12,Julinho,Fiorentina,Italy,3,0.0375,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
13,Stefan Bozhkov,CDNA Sofia,Bulgaria,2,0.025,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
13,Duncan Edwards,Manchester United,England,2,0.025,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
13,Gerhard Hanappi,Rapid Wien,Austria,2,0.025,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
13,Robert Jonquet,Stade de Reims,France,2,0.025,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
13,Miguel Montuori,Fiorentina,Italy,2,0.025,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
13,Pepillo,Sevilla,Spain,2,0.025,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
13,Juan Schiaffino,Milan,Italy,2,0.025,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
13,Eduard Streltsov,Torpedo Moscow,Soviet Union,2,0.025,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
21,Campanal,Sevilla,Spain,1,0.0125,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
21,Bretislav Dolejsi,Dukla Praha,Czechoslovakia,1,0.0125,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
21,Roger Piantoni,Nancy,France,1,0.0125,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
21,Kees Rijvers,AS Saint-Étienne,Netherlands,1,0.0125,1956,Real Madrid,Spain,4,3,Stade de Reims,France,"France Parc des Princes, Paris","38,239",Miloš Milutinović,Yugoslavia,FK Partizan Belgrade,8
1,Alfredo Di Stéfano,Real Madrid CF,Spain,72,0.8963,1957,Real Madrid,Spain,2,0,Fiorentina,Italy,"Spain Santiago Bernabéu Stadium, Madrid","124,000",Dennis Viollet,England,Manchester United,9
2,Billy Wright,Wolverhampton Wanderers,England,19,0.2365,1957,Real Madrid,Spain,2,0,Fiorentina,Italy,"Spain Santiago Bernabéu Stadium, Madrid","124,000",Dennis Viollet,England,Manchester United,9
3,Duncan Edwards,Manchester United,England,16,0.1992,1957,Real Madrid,Spain,2,0,Fiorentina,Italy,"Spain Santiago Bernabéu Stadium, Madrid","124,000",Dennis Viollet,England,Manchester United,9
3,Raymond Kopa,Real Madrid CF,France,16,0.1992,1957,Real Madrid,Spain,2,0,Fiorentina,Italy,"Spain Santiago Bernabéu Stadium, Madrid","124,000",Dennis Viollet,England,Manchester United,9
5,László Kubala,FC Barcelona,Hungary,15,0.1867,1957,Real Madrid,Spain,2,0,Fiorentina,Italy,"Spain Santiago Bernabéu Stadium, Madrid","124,000",Dennis Viollet,England,Manchester United,9
6,John Charles,Juventus,Wales,14,0.1743,1957,Real Madrid,Spain,2,0,Fiorentina,Italy,"Spain Santiago Bernabéu Stadium, Madrid","124,000",Dennis Viollet,England,Manchester United,9
7,Eduard Streltsov,Torpedo Moscow,Soviet Union,12,0.1494,1957,Real Madrid,Spain,2,0,Fiorentina,Italy,"Spain Santiago Bernabéu Stadium, Madrid","124,000",Dennis Viollet,England,Manchester United,9
