Season,Winner,Winner Country,Winner Score,scorer 1,scorer 2,scorer 3,scorer 4,scorer 5,scorer 6,scorer 7,Finalist Score,opponent scorer 1,opponent scorer 2,opponent scorer 3,Finalist,Finalist Country,Venue,Attendance,Best Scorer,Country Scorer,Club Scorer,Goals
1956,Real Madrid, Spain,4,Di Stefano,Rial,Marquitos,Rial,,,,3,Leblond,Templin,Hidalgo,Stade de Reims, France,"France Parc des Princes, Paris",38239, MiloÅ¡ MilutinoviÄ‡,Yugoslavia,FK Partizan Belgrade,8
1957,Real Madrid, Spain,2,Di Stefano,Gento,,,,,,0,,,,Fiorentina, Italy,"Spain Santiago BernabÃ©u Stadium, Madrid",124000,Dennis Viollet,England,Manchester United,9
1958,Real Madrid, Spain,3,Di Stefano,Rial,Gento,,,,,2,Schiaffino,Grillo,,Milan, Italy,"Belgium Heysel Stadium, Brussels",67000,Alfredo Di StÃ©fano,Spain,Real Madrid,10
1959,Real Madrid, Spain,2,Mateos,Di Stefano,,,,,,0,,,,Stade de Reims, France,"West Germany Neckarstadion, Stuttgart",72000,Just Fountain,France,Reims Stadium,10
1960,Real Madrid, Spain,7,Di Stefano,Di Stefano,Puskas,Puskas,Puskas,Puskas,Di Stefano,3,Kreiss,Stein,Stein,Eintracht Frankfurt, West Germany,"Scotland Hampden Park, Glasgow",127621,Ferenc PuskÃ¡s,Hungary,Real Madrid,12
1961,Benfica, Portugal,3,Aguas,Ramallets (o.g.),Coluna,,,,,2,Kocsis,Czibor,,Barcelona, Spain,"Switzerland Wankdorf Stadium, Bern",26732,JosÃ© Ãguas,Portugal,Benfica,11
1962,Benfica, Portugal,5,Aguas,Cavem,Coluna,Eusebio,Eusebio,,,3,Puskas,Puskas,Puskas,Real Madrid, Spain,"Netherlands Olympisch Stadion, Amsterdam",61257,Heinz Strehl,West Germany,1. FC Nuremberg,8
1963,Milan, Italy,2,Altafini,Altafini,,,,,,1,Eusebio,,,Benfica, Portugal,"England Wembley Stadium, London",45715,JosÃ© Altafini,Italy,AC Milan,14
1964,Internazionale, Italy,3,Mazzola,Milani,Mazzola,,,,,1,Felo,,,Real Madrid, Spain,"Austria Prater Stadium, Vienna",71333,Vladimir KovaÄeviÄ‡,Yugoslavia, FK Partizan Belgrade,7
1965,Internazionale, Italy,1,Jair,,,,,,,0,,,,Benfica, Portugal,"Italy San Siro, Milan",89000,Eusebio,Portugal,Benfica,9
1966,Real Madrid, Spain,2,Amancio,Serena,,,,,,1,Vasovic,,,Partizan, Yugoslavia,"Belgium Heysel Stadium, Brussels",46745,Eusebio,Portugal,Benfica,7
1967,Celtic, Scotland,2,Gemmell,Chalmers,,,,,,1,Mazzola,,,Internazionale, Italy,"Portugal EstÃ¡dio Nacional, Lisbon",45000,Paul Van Himst,Belgium,RSC Anderlecht,6
1968,Manchester United, England,4,Charlton,Best,Kidd,Charlton,,,,1,Graca,,,Benfica, Portugal,"England Wembley Stadium, London",92225,Eusebio,Portugal,Benfica,6
1969,Milan, Italy,3,Prati,Prati,Sormani,Prati,,,,1,Vasovic,,,Ajax, Netherlands,"Spain Santiago BernabÃ©u Stadium, Madrid",31782,Dennis Law,Scotland,Manchester United,9
1970,Feyenoord, Netherlands,2,Israel,Kindvall,,,,,,1,Gemmell,,,Celtic, Scotland,"Italy San Siro, Milan",53187,Mick Jones,England,Leeds United,8
1971,Ajax, Netherlands,2,van Dijk,Haan,,,,,,0,,,,Panathinaikos, Greece,"England Wembley Stadium, London",83179,Antonis Antoniadis,Greece,Panathinaikos,10
1972,Ajax, Netherlands,2,Cruyff,Cruyff,,,,,,0,,,,Internazionale, Italy,"Netherlands De Kuip, Rotterdam",61354,Silvester TakaÄ,Yugoslavia,Standard Liege,5
